model,context_length,mode,num_devices,phase,phase_index,is_peak_phase,mean_occurrences_per_sample,peak_interval_label,mean_interval_peak_gb,max_interval_peak_gb,peak_allocated_before_gb,peak_allocated_after_gb,peak_transient_gb,peak_unattributed_gb,target_weight_gb,target_kv_gb,draft_weight_gb,draft_kv_gb,selected_hidden_gb,context_feature_gb
qwen3-8b,32768,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,22.9691,22.9693,22.9693,22.9693,0.0,0.0095,15.2564,4.5001,1.9532,0.0,0.0,1.25
qwen3-8b,32768,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,22.9691,22.9693,22.9693,22.9693,0.0,0.0095,15.2564,4.5001,1.9532,0.0,0.0,1.25
qwen3-8b,32768,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,24.2377,24.2379,22.9693,23.5949,0.643,0.6528,15.2564,4.5001,1.9532,0.6253,0.0,1.25
qwen3-8b,32768,dflash,1,decode: draft forward,6,False,7.31,decode: draft forward,22.4204,22.4268,22.3636,22.3636,0.0631,0.0813,15.2564,4.5084,1.9532,0.6262,0.0006,0.0006
qwen3-8b,32768,dflash,1,decode: draft rollback/crop,7,False,7.625,decode: draft rollback/crop,22.7442,23.5949,23.5949,23.5949,0.0,0.0097,15.2564,4.5001,1.9532,0.6253,0.0,1.25
qwen3-8b,32768,dflash,1,decode: draft logits,8,False,7.625,decode: draft logits,22.7527,23.6034,23.5949,23.5991,0.0042,0.0182,15.2564,4.5001,1.9532,0.6253,0.0,1.25
qwen3-8b,32768,dflash,1,decode: target verify,9,False,7.625,decode: target verify,23.25,24.1051,23.5991,23.6062,0.499,0.5172,15.2564,4.5023,1.9532,0.6253,0.0006,1.25
qwen3-8b,32768,dflash,1,decode: verify rollback/crop,10,False,7.625,decode: verify rollback/crop,22.7479,23.6062,23.6062,23.6062,0.0,0.0182,15.2564,4.5023,1.9532,0.6253,0.0006,1.25
qwen3-8b,32768,dflash,1,decode: context-feature build,11,False,7.625,decode: context-feature build,22.7485,23.6068,23.6062,22.3567,0.0006,1.2682,15.2564,4.5023,1.9532,0.6253,0.0006,0.0006
qwen3-8b,32768,baseline,1,prefill: target forward,0,True,1,target layer 35,24.9845,24.9847,17.2188,21.7193,3.2654,3.2749,15.2564,4.5001,1.9532,0.0,0.0,0.0
qwen3-8b,32768,baseline,1,prefill: first token,2,False,1,prefill: first token,21.7191,21.7193,21.7193,21.7193,0.0,0.0095,15.2564,4.5001,1.9532,0.0,0.0,0.0
qwen3-8b,32768,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,21.7191,21.7193,21.7193,21.7193,0.0,0.0095,15.2564,4.5001,1.9532,0.0,0.0,0.0
qwen3-8b,32768,baseline,1,decode: target verify,9,False,11.312,decode: target verify,21.7825,21.7883,21.7256,21.7257,0.0626,0.0721,15.2564,4.5066,1.9532,0.0,0.0,0.0
qwen3-8b,32768,baseline,1,decode: verify rollback/crop,10,False,11.312,decode: verify rollback/crop,21.72,21.7257,21.7257,21.7257,0.0,0.0095,15.2564,4.5066,1.9532,0.0,0.0,0.0
qwen3-8b,65536,dflash,1,prefill: target forward,0,True,1,target layer 35,35.2513,35.2513,17.2201,28.7203,6.531,6.5417,15.2564,9.0,1.9532,0.0,2.5,0.0
qwen3-8b,65536,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,31.2203,31.2203,28.7203,28.7203,2.5,5.0107,15.2564,9.0,1.9532,0.0,0.0,0.0
qwen3-8b,65536,dflash,1,prefill: first token,2,False,1,prefill: first token,28.7203,28.7203,28.7203,28.7203,0.0,2.5107,15.2564,9.0,1.9532,0.0,0.0,0.0
qwen3-8b,65536,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,28.7203,28.7203,28.7203,28.7203,0.0,0.0107,15.2564,9.0,1.9532,0.0,0.0,2.5
qwen3-8b,65536,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,28.7203,28.7203,28.7203,28.7203,0.0,0.0107,15.2564,9.0,1.9532,0.0,0.0,2.5
qwen3-8b,65536,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,31.2564,31.2565,28.7203,29.9709,1.2856,1.2965,15.2564,9.0,1.9532,1.2503,0.0,2.5
